part_no,locality,aap_votes,bjp_votes,inc_votes,others_votes,total_votes
1,CR Park,850,520,80,20,1470
2,CR Park,910,480,60,15,1465
3,CR Park,780,610,70,18,1478
4,GK-1,650,700,90,12,1452
5,GK-1,600,750,85,10,1445
6,GK-1,720,680,75,14,1489
7,GK-2,690,640,82,11,1423
8,GK-2,710,600,78,9,1397
9,East of Kailash,800,550,65,13,1428
10,East of Kailash,830,540,60,17,1447
11,Kalkaji,950,400,55,20,1425
12,Kalkaji,920,430,58,18,1426
13,Kalkaji,880,470,62,16,1428
14,Panchsheel Park,610,720,88,9,1427
15,Panchsheel Park,640,700,90,11,1441
16,Shahpur Jat,870,460,50,22,1402
17,Shahpur Jat,840,490,54,19,1403
18,Kailash Colony,700,660,80,14,1454
19,Kailash Colony,730,630,77,13,1450
20,CR Park,890,500,70,16,1476
